Resolution,X ximension (pixel),Y dimension (pixel),X distance  between FM,Y distance  between FM,Xp1,Yp1,Xp2,Yp2,Xp3,Yp3,Xp4,Yp4
600,4252,4252,3898,3898,177,177,4075,177,4075,4075,177,4075
700,4961,4961,4547,4547,207,207,4754,207,4754,4754,207,4754
800,5669,5669,5197,5197,236,236,5433,236,5433,5433,236,5433
900,6378,6378,5846,5846,266,266,6112,266,6112,6112,266,6112
1000,7087,7087,6496,6496,295,295,6791,295,6791,6791,295,6791
1100,7795,7795,7146,7146,325,325,7470,325,7470,7470,325,7470
1200,8504,8504,7795,7795,354,354,8150,354,8150,8150,354,8150
1300,9213,9213,8445,8445,384,384,8829,384,8829,8829,384,8829
1400,9921,9921,9094,9094,413,413,9508,413,9508,9508,413,9508
1500,10630,10630,9744,9744,443,443,10187,443,10187,10187,443,10187
1600,11339,11339,10394,10394,472,472,10866,472,10866,10866,472,10866
1700,12047,12047,11043,11043,502,502,11545,502,11545,11545,502,11545
1800,12756,12756,11693,11693,531,531,12224,531,12224,12224,531,12224
1900,13465,13465,12343,12343,561,561,12904,561,12904,12904,561,12904
2000,14173,14173,12992,12992,591,591,13583,591,13583,13583,591,13583
2100,14882,14882,13642,13642,620,620,14262,620,14262,14262,620,14262
2200,15591,15591,14291,14291,650,650,14941,650,14941,14941,650,14941
2300,16299,16299,14941,14941,679,679,15620,679,15620,15620,679,15620
2400,17008,17008,15591,15591,709,709,16299,709,16299,16299,709,16299
